Date,Open,High,Low,Close,Volume
2023-01-01,134.97,138.3,131.6,134.93,5982975
2023-01-02,175.53,179.66,172.51,179.52,14262023
2023-01-03,116.85,118.09,114.07,116.01,17699632
2023-01-04,123.03,124.2,120.04,121.15,13832103
2023-01-05,119.78,121.64,116.94,117.36,19147515
2023-01-06,175.54,177.24,172.82,176.36,7883474
2023-01-07,183.47,184.2,180.59,183.09,10624936
2023-01-08,172.61,173.19,167.76,171.16,19177590
2023-01-09,154.22,156.95,150.44,156.58,5083101
2023-01-10,106.59,107.63,101.75,103.5,19322753
2023-01-11,176.48,177.22,173.22,176.77,14909359
2023-01-12,112.81,117.68,108.1,108.71,8640709
2023-01-13,161.23,162.99,156.59,161.27,7137665
2023-01-14,119.83,122.98,116.44,118.28,16858215
2023-01-15,197.8,201.54,193.93,195.09,19582330
2023-01-16,101.02,102.46,96.04,99.53,9827165
2023-01-17,154.15,158.47,153.62,157.43,14778582
2023-01-18,198.99,203.34,197.79,198.71,8486916
2023-01-19,136.78,138.85,135.63,135.67,15616819
2023-01-20,120.04,122.07,117.83,120.17,6064938
2023-01-21,143.15,144.84,139.63,140.81,17736557
2023-01-22,128.72,129.9,127.44,129.33,10829534
2023-01-23,136.88,139.41,132.94,137.04,16995161
2023-01-24,127.04,129.68,126.53,128.39,14396960
2023-01-25,165.84,166.97,163.58,166.32,19113876
2023-01-26,144.12,146.46,141.38,143.93,19476812
2023-01-27,196.99,200.85,194.12,194.84,15955028
2023-01-28,181.49,183.98,180.45,183.3,11454671
2023-01-29,117.07,120.01,114.75,115.79,15166706
2023-01-30,167.43,172.22,165.28,167.21,17172801
2023-01-31,128.36,129.3,125.39,126.27,17105170
2023-02-01,199.39,202.73,197.37,201.73,18549291
2023-02-02,106.35,107.35,102.84,104.67,19594571
2023-02-03,119.9,122.5,115.96,117.45,19010298
2023-02-04,183.94,185.77,181.55,182.36,8166977
2023-02-05,156.76,157.32,154.93,156.98,9607239
2023-02-06,160.72,162.95,160.13,162.32,16138098
2023-02-07,106.23,110.06,103.6,108.3,16779294
2023-02-08,154.41,158.29,152.93,153.77,11278269
2023-02-09,113.57,115.4,112.79,114.43,9959942
2023-02-10,182.11,186.09,179.09,181.57,8949435
2023-02-11,111.41,114.93,110.04,114.52,15760721
2023-02-12,136.83,138.74,135.47,138.57,10303984
2023-02-13,113.76,115.35,109.24,113.59,10588348
2023-02-14,184.46,189.15,182.28,187.6,9103335
2023-02-15,160.08,162.54,156.02,161.46,19225149
2023-02-16,193.89,196.63,190.75,196.28,15151133
2023-02-17,151.94,155.0,148.46,148.57,14332995
2023-02-18,116.7,117.79,112.82,113.73,9014679
2023-02-19,186.73,190.09,181.98,183.33,17587926
2023-02-20,134.96,138.11,131.03,135.38,17021755
2023-02-21,182.13,182.85,181.2,181.95,6172589
2023-02-22,109.88,111.97,107.97,109.64,10120022
2023-02-23,166.77,168.91,165.65,168.14,16692387
2023-02-24,163.59,167.98,162.2,166.75,6966169
2023-02-25,143.6,146.29,139.76,140.21,19114443
2023-02-26,127.54,130.01,125.53,128.25,14225800
2023-02-27,186.22,188.27,182.5,184.56,15584722
2023-02-28,138.62,139.8,136.7,138.42,18123114
2023-03-01,134.45,138.57,132.96,134.8,10369149
